# code	title	kind	source
F00-F99	Класс V. Психические расстройства и расстройства поведения	diagnosis	icd10_f_data.py
F00	Деменция при болезни Альцгеймера	diagnosis	icd10_f_data.py
F00.0	Деменция при болезни Альцгеймера с ранним началом	diagnosis	icd10_f_data.py
F00.1	Деменция при болезни Альцгеймера с поздним началом	diagnosis	icd10_f_data.py
F00.2	Деменция при болезни Альцгеймера, атипичная или смешанного типа	diagnosis	icd10_f_data.py
F00.9	Деменция при болезни Альцгеймера неуточнённая	diagnosis	icd10_f_data.py
F01	Сосудистая деменция	diagnosis	icd10_f_data.py
F01.0	Сосудистая деменция с острым началом	diagnosis	icd10_f_data.py
F01.1	Мультиинфарктная деменция	diagnosis	icd10_f_data.py
F01.2	Подкорковая сосудистая деменция	diagnosis	icd10_f_data.py
F01.3	Смешанная корковая и подкорковая сосудистая деменция	diagnosis	icd10_f_data.py
F01.8	Другая сосудистая деменция	diagnosis	icd10_f_data.py
F01.9	Сосудистая деменция неуточнённая	diagnosis	icd10_f_data.py
F02	Деменция при других болезнях, классифицированных в других рубриках	diagnosis	icd10_f_data.py
F02.0	Деменция при болезни Пика	diagnosis	icd10_f_data.py
F02.1	Деменция при болезни Крейтцфельдта-Якоба	diagnosis	icd10_f_data.py
F02.2	Деменция при болезни Гентингтона	diagnosis	icd10_f_data.py
F02.3	Деменция при болезни Паркинсона	diagnosis	icd10_f_data.py
F02.4	Деменция при болезни, вызванной вирусом иммунодефицита человека	diagnosis	icd10_f_data.py
F02.8	Деменция при других уточнённых болезнях	diagnosis	icd10_f_data.py
F03	Деменция неуточнённая	diagnosis	icd10_f_data.py
F04	Органический амнестический синдром, не вызванный алкоголем или другими психоактивными веществами	diagnosis	icd10_f_data.py
F05	Делирий, не вызванный алкоголем или другими психоактивными веществами	diagnosis	icd10_f_data.py
F05.0	Делирий, не возникающий на фоне деменции	diagnosis	icd10_f_data.py
F05.1	Делирий, возникающий на фоне деменции	diagnosis	icd10_f_data.py
F05.8	Другой делирий	diagnosis	icd10_f_data.py
F05.9	Делирий неуточнённый	diagnosis	icd10_f_data.py
F06	Другие психические расстройства вследствие повреждения и дисфункции головного мозга или соматической болезни	diagnosis	icd10_f_data.py
F06.0	Органический галлюциноз	diagnosis	icd10_f_data.py
F06.1	Органическое кататоническое расстройство	diagnosis	icd10_f_data.py
F06.2	Органическое бредовое расстройство	diagnosis	icd10_f_data.py
F06.3	Органические расстройства настроения	diagnosis	icd10_f_data.py
F06.4	Органическое тревожное расстройство	diagnosis	icd10_f_data.py
F06.5	Органическое диссоциативное расстройство	diagnosis	icd10_f_data.py
F06.6	Органическое эмоционально лабильное расстройство	diagnosis	icd10_f_data.py
F06.7	Лёгкое когнитивное расстройство	diagnosis	icd10_f_data.py
F06.8	Другие уточнённые органические психические расстройства	diagnosis	icd10_f_data.py
F06.9	Органическое психическое расстройство неуточнённое	diagnosis	icd10_f_data.py
F07	Расстройства личности и поведения вследствие болезни, повреждения или дисфункции головного мозга	diagnosis	icd10_f_data.py
F07.0	Органическое расстройство личности	diagnosis	icd10_f_data.py
F07.1	Постэнцефалитический синдром	diagnosis	icd10_f_data.py
F07.2	Постконтузионный синдром	diagnosis	icd10_f_data.py
F07.8	Другие органические расстройства личности и поведения	diagnosis	icd10_f_data.py
F07.9	Органическое расстройство личности и поведения неуточнённое	diagnosis	icd10_f_data.py
F09	Органическое или симптоматическое психическое расстройство неуточнённое	diagnosis	icd10_f_data.py
F20	Шизофрения	diagnosis	icd10_f_data.py
F20.0	Параноидная шизофрения	diagnosis	icd10_f_data.py
F20.1	Гебефреническая шизофрения	diagnosis	icd10_f_data.py
F20.2	Кататоническая шизофрения	diagnosis	icd10_f_data.py
F20.3	Недифференцированная шизофрения	diagnosis	icd10_f_data.py
F20.4	Постшизофреническая депрессия	diagnosis	icd10_f_data.py
F20.5	Резидуальная шизофрения	diagnosis	icd10_f_data.py
F20.6	Простая шизофрения	diagnosis	icd10_f_data.py
F20.8	Другой тип шизофрении	diagnosis	icd10_f_data.py
F20.9	Шизофрения неуточнённая	diagnosis	icd10_f_data.py
F21	Шизотипическое расстройство	diagnosis	icd10_f_data.py
F22	Хронические бредовые расстройства	diagnosis	icd10_f_data.py
F22.0	Бредовое расстройство	diagnosis	icd10_f_data.py
F22.8	Другие хронические бредовые расстройства	diagnosis	icd10_f_data.py
F22.9	Хроническое бредовое расстройство неуточнённое	diagnosis	icd10_f_data.py
F23	Острые и преходящие психотические расстройства	diagnosis	icd10_f_data.py
F23.0	Острое полиморфное психотическое расстройство без симптомов шизофрении	diagnosis	icd10_f_data.py
F23.1	Острое полиморфное психотическое расстройство с симптомами шизофрении	diagnosis	icd10_f_data.py
F23.2	Острое шизофреноподобное психотическое расстройство	diagnosis	icd10_f_data.py
F23.3	Другие острые преимущественно бредовые психотические расстройства	diagnosis	icd10_f_data.py
F23.8	Другие острые и преходящие психотические расстройства	diagnosis	icd10_f_data.py
F23.9	Острое и преходящее психотическое расстройство неуточнённое	diagnosis	icd10_f_data.py
F24	Индуцированное бредовое расстройство	diagnosis	icd10_f_data.py
F25	Шизоаффективные расстройства	diagnosis	icd10_f_data.py
F25.0	Шизоаффективное расстройство, маниакальный тип	diagnosis	icd10_f_data.py
F25.1	Шизоаффективное расстройство, депрессивный тип	diagnosis	icd10_f_data.py
F25.2	Шизоаффективное расстройство, смешанный тип	diagnosis	icd10_f_data.py
F25.8	Другие шизоаффективные расстройства	diagnosis	icd10_f_data.py
F25.9	Шизоаффективное расстройство неуточнённое	diagnosis	icd10_f_data.py
F28	Другие неорганические психотические расстройства	diagnosis	icd10_f_data.py
F29	Неорганический психоз неуточнённый	diagnosis	icd10_f_data.py
F30	Маниакальный эпизод	diagnosis	icd10_f_data.py
F30.0	Гипомания	diagnosis	icd10_f_data.py
F30.1	Мания без психотических симптомов	diagnosis	icd10_f_data.py
F30.2	Мания с психотическими симптомами	diagnosis	icd10_f_data.py
F30.8	Другие маниакальные эпизоды	diagnosis	icd10_f_data.py
F30.9	Маниакальный эпизод неуточнённый	diagnosis	icd10_f_data.py
F31	Биполярное аффективное расстройство	diagnosis	icd10_f_data.py
F31.0	Биполярное аффективное расстройство, текущий эпизод гипомании	diagnosis	icd10_f_data.py
F31.1	Биполярное аффективное расстройство, текущий эпизод мании без психотических симптомов	diagnosis	icd10_f_data.py
F31.2	Биполярное аффективное расстройство, текущий эпизод мании с психотическими симптомами	diagnosis	icd10_f_data.py
F31.3	Биполярное аффективное расстройство, текущий эпизод лёгкой или умеренной депрессии	diagnosis	icd10_f_data.py
F31.4	Биполярное аффективное расстройство, текущий эпизод тяжёлой депрессии без психотических симптомов	diagnosis	icd10_f_data.py
F31.5	Биполярное аффективное расстройство, текущий эпизод тяжёлой депрессии с психотическими симптомами	diagnosis	icd10_f_data.py
F31.6	Биполярное аффективное расстройство, текущий эпизод смешанного характера	diagnosis	icd10_f_data.py
F31.7	Биполярное аффективное расстройство, текущая ремиссия	diagnosis	icd10_f_data.py
F31.8	Другие биполярные аффективные расстройства	diagnosis	icd10_f_data.py
F31.9	Биполярное аффективное расстройство неуточнённое	diagnosis	icd10_f_data.py
F32	Депрессивный эпизод	diagnosis	icd10_f_data.py
F32.0	Депрессивный эпизод лёгкой степени	diagnosis	icd10_f_data.py
F32.1	Депрессивный эпизод средней степени	diagnosis	icd10_f_data.py
